"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Inorganic chemicals",628,"Manganese Oxides",62820,"Chemical Products",6,128134,1995
"Inorganic chemicals",628,"Iron Oxides and Hydroxides",62821,"Chemical Products",6,4622407,1995
"Inorganic chemicals",628,"Cobalt Oxides and Hydroxides",62822,"Chemical Products",6,17267,1995
"Inorganic chemicals",628,"Titanium Oxides",62823,"Chemical Products",6,21327250,1995
"Inorganic chemicals",628,"Lead Oxides",62824,"Chemical Products",6,2756043,1995
"Inorganic chemicals",628,"Inorganic Salts",62825,"Chemical Products",6,13894085,1995
"Inorganic chemicals",628,"Fluorides",62826,"Chemical Products",6,223249,1995
"Inorganic chemicals",628,"Chlorides",62827,"Chemical Products",6,13386252,1995
"Inorganic chemicals",628,"Hypochlorites",62828,"Chemical Products",6,1146852,1995
"Inorganic chemicals",628,"Chlorates and Perchlorates",62829,"Chemical Products",6,183217,1995
